# Gene Family,P1,P2,P3,P4,P5,P6
K07390,3.773,4.013,2.628,2.703,2.728,3.487
K07391,5.506,5.612,5.806,5.2,4.685,5.634
K07393,3.626,3.255,1.64,2.758,2.986,3.905
K07395,2.441,2.634,1.632,1.311,1.763,1.311
K07396,0.0,0.0,0.0,0.0,0.0,0.124
K07397,1.552,1.039,0.676,0.182,0.962,0.521
K07398,0.0,0.0,0.109,0.0,0.0,0.0
K07399,0.515,0.253,0.373,0.505,0.478,0.291
K07401,0.074,0.606,0.068,0.292,0.476,0.471
K07402,5.275,5.172,4.55,3.264,3.233,4.723
K07403,0.155,0.0,0.586,0.316,0.558,0.341
K07404,1.184,1.27,0.459,1.165,1.254,1.211
K07406,0.0,0.0,0.206,0.0,0.116,0.0
K07407,1.753,1.499,1.115,1.587,1.383,1.783
K07442,0.0,0.0,0.0,0.427,0.081,0.0
K07443,0.0,0.0,0.421,0.539,0.392,0.281
K07444,0.104,0.0,0.451,0.654,0.461,0.178
K07447,3.677,4.096,2.297,3.159,2.307,2.247
K07448,0.497,0.34,0.871,0.938,0.591,0.391
K07454,0.0,0.084,0.285,0.209,0.254,0.301
K07455,0.0,0.0,0.468,0.0,0.0,0.0
K07456,0.979,0.727,1.61,1.168,1.775,1.61
K07458,0.0,0.0,0.846,0.75,0.0,0.521
K07460,0.87,0.606,0.873,0.477,0.108,0.442
K07461,0.721,0.636,0.686,0.369,0.676,0.428
K07462,2.898,2.893,2.797,2.925,2.498,1.756
K07463,0.0,0.0,0.131,0.0,0.0,0.0
K07464,0.124,0.0,0.0,0.0,0.0,0.0
K07465,0.0,0.0,0.0,0.168,0.0,0.0
K07466,0.0,0.0,0.066,0.142,0.0,0.0
K07467,0.0,0.112,0.0,0.0,0.125,0.0
K07473,0.039,0.0,0.099,0.121,0.041,0.0
K07478,6.125,6.625,5.55,6.521,5.273,5.572
K07480,0.145,0.118,0.079,0.084,0.183,0.0
K07481,5.748,6.181,4.004,4.231,4.583,7.226
